did,oid,ent,sectionId,laneIndex,xCoord,yCoord,time,speed,travelledDistance,acceleration
462536,1844,258,1456,1,448541.86,210594.86,380.0,62.14,3552.61,0.0
462536,1844,259,1456,1,448555.25,210591.48,380.8,62.14,3566.42,0.0
462536,1844,260,1456,1,448568.64,210588.11,381.6,62.14,3580.23,0.0
462536,1844,261,1456,1,448582.03,210584.73,382.4,62.14,3594.04,0.0
462536,1844,262,1456,1,448595.42,210581.36,383.2,62.14,3607.85,0.0
462536,1844,263,1456,1,448608.81,210577.98,384.0,62.14,3621.66,0.0
462536,1844,264,1456,1,448622.2,210574.61,384.8,62.14,3635.47,0.0
462536,1844,265,1456,1,448635.59,210571.23,385.6,62.14,3649.27,0.0
462536,1844,266,1456,1,448648.98,210567.86,386.4,62.14,3663.08,0.0
462536,1844,267,1456,1,448662.37,210564.48,387.2,62.14,3676.89,0.0
462536,1844,268,1456,1,448675.76,210561.11,388.0,62.14,3690.7,0.0
462536,1844,269,1456,1,448689.15,210557.73,388.8,62.14,3704.51,0.0
462536,1844,270,1456,1,448702.54,210554.36,389.6,62.14,3718.32,0.0
462536,1844,271,1456,1,448715.93,210550.98,390.4,62.14,3732.13,0.0
462536,1844,272,1456,1,448729.32,210547.61,391.2,62.14,3745.94,0.0
462536,1844,273,1456,1,448742.71,210544.23,392.0,62.14,3759.74,0.0
462536,1844,274,1456,1,448756.1,210540.86,392.8,62.14,3773.55,0.0
462536,1844,275,1456,1,448769.49,210537.48,393.6,62.14,3787.36,0.0
462536,1844,276,1456,1,448782.88,210534.11,394.4,62.14,3801.17,0.0
462536,1844,277,1456,1,448796.27,210530.73,395.2,62.14,3814.98,0.0
462536,1844,278,1456,1,448809.65,210527.35,396.0,62.14,3828.79,0.0
462536,1844,279,1456,1,448823.04,210523.97,396.8,62.14,3842.6,0.0
462536,1844,280,1456,1,448836.43,210520.6,397.6,62.14,3856.41,0.0
462536,1844,281,1456,1,448849.82,210517.23,398.4,62.14,3870.21,0.0
462536,1844,282,1456,1,448863.06,210513.34,399.2,62.14,3884.02,0.0
462536,1844,283,1456,1,448876.04,210508.63,400.0,62.14,3897.83,0.0
462536,1844,284,1456,1,448889.02,210503.91,400.8,62.14,3911.64,0.0
462536,1844,285,1456,1,448902.0,210499.2,401.6,62.14,3925.45,0.0
462536,1844,286,1456,1,448914.98,210494.49,402.4,62.14,3939.26,0.0
462536,1844,287,1456,1,448927.95,210489.77,403.2,62.14,3953.07,0.0
462536,1844,288,1456,1,448940.93,210485.06,404.0,62.14,3966.88,0.0
462536,1844,289,1456,1,448953.91,210480.34,404.8,62.14,3980.69,0.0
462536,1844,290,1456,1,448966.89,210475.63,405.6,62.14,3994.49,0.0
462536,1844,291,1456,1,448979.87,210470.92,406.4,62.14,4008.3,0.0
462536,1844,292,1456,1,448992.85,210466.2,407.2,62.14,4022.11,0.0
462536,1844,293,1456,1,449005.83,210461.49,408.0,62.14,4035.92,0.0
462536,1844,294,1456,1,449018.81,210456.78,408.8,62.14,4049.73,0.0
462536,1844,295,1456,1,449031.79,210452.06,409.6,62.14,4063.54,0.0
462536,1844,296,1456,1,449044.77,210447.35,410.4,62.14,4077.35,0.0
462536,1844,297,1456,1,449057.75,210442.63,411.2,62.14,4091.16,0.0
462536,1844,298,1456,1,449070.53,210437.4,412.0,62.14,4104.96,0.0
462536,1844,299,1456,1,449083.05,210431.6,412.8,62.14,4118.77,0.0
462536,1844,300,1456,1,449095.56,210425.74,413.6,62.14,4132.58,0.0
462536,1844,301,1456,1,449108.06,210419.88,414.4,62.14,4146.39,0.0
462536,1844,302,1456,1,449120.56,210414.01,415.2,62.14,4160.2,0.0
462536,1844,303,1456,1,449133.07,210408.15,416.0,62.14,4174.01,0.0
462536,1844,304,1456,1,449145.57,210402.29,416.8,62.14,4187.82,0.0
462536,1844,305,1456,1,449158.07,210396.43,417.6,62.14,4201.63,0.0
462536,1844,306,1456,1,449170.58,210390.57,418.4,62.14,4215.44,0.0
462536,1844,307,1456,1,449183.08,210384.71,419.2,62.14,4229.24,0.0
462536,1844,308,1456,1,449195.58,210378.85,420.0,62.14,4243.05,0.0
462536,1844,309,1456,1,449207.85,210372.52,420.8,62.14,4256.86,0.0
462536,1844,310,1456,1,449219.98,210365.92,421.6,62.14,4270.67,0.0
462536,1844,311,1456,1,449232.11,210359.32,422.4,62.14,4284.48,0.0
462536,1844,312,1456,1,449244.24,210352.73,423.2,62.14,4298.29,0.0
462536,1844,313,1456,1,449256.38,210346.13,424.0,62.14,4312.1,0.0
462536,1844,314,1456,1,449268.51,210339.54,424.8,62.14,4325.91,0.0
462536,1844,315,1456,1,449280.64,210332.94,425.6,62.14,4339.71,0.0
462536,1844,316,1456,1,449292.77,210326.35,426.4,62.14,4353.52,0.0
462536,1844,317,1456,1,449304.9,210319.75,427.2,62.14,4367.33,0.0
462536,1844,318,1456,1,449317.04,210313.16,428.0,62.14,4381.14,0.0
462536,1844,319,1456,1,449329.17,210306.56,428.8,62.14,4394.95,0.0
462536,1844,320,1456,1,449341.3,210299.97,429.6,62.14,4408.76,0.0
462536,1844,321,1456,1,449353.68,210293.9,430.4,62.14,4422.57,0.0
462536,1844,322,1456,1,449366.48,210288.71,431.2,62.14,4436.38,0.0
462536,1844,323,1456,1,449379.28,210283.52,432.0,62.14,4450.19,0.0
462536,1844,324,1456,1,449392.07,210278.34,432.8,62.14,4463.99,0.0
462536,1844,325,1456,1,449404.87,210273.15,433.6,62.14,4477.8,0.0
462536,1844,326,1456,1,449417.05,210268.21,434.4,56.12,4490.94,-2.09
462536,1844,327,1456,1,449428.03,210263.76,435.2,50.49,4502.79,-1.96
462536,1844,328,9796,0,449438.51,210259.83,436.0,50.49,4514.01,0.0
462536,1844,329,1435,2,449449.01,210258.07,436.8,46.6,4524.8,-1.35
462536,1844,330,1435,2,449458.62,210254.21,437.6,46.6,4535.15,0.0
462536,1844,331,1435,2,449468.23,210250.35,438.4,46.6,4545.51,0.0
462536,1844,332,1435,2,449477.84,210246.49,439.2,46.6,4555.87,0.0
462536,1844,333,1435,2,449487.45,210242.63,440.0,46.6,4566.22,0.0
462536,1844,334,1435,2,449497.06,210238.77,440.8,46.6,4576.58,0.0
462536,1844,335,1435,2,449506.68,210234.92,441.6,46.6,4586.94,0.0
462536,1844,336,1435,2,449516.49,210231.61,442.4,46.6,4597.29,0.0
462536,1844,337,1435,2,449526.45,210228.8,443.2,46.6,4607.65,0.0
462536,1844,338,1435,2,449536.47,210226.17,444.0,46.6,4618.01,0.0
462536,1844,339,1435,2,449546.51,210223.64,444.8,46.6,4628.36,0.0
462536,1844,340,1435,2,449556.58,210221.19,445.6,46.6,4638.72,0.0
462536,1844,341,1435,2,449566.65,210218.81,446.4,46.6,4649.08,0.0
462536,1844,342,1435,2,449576.75,210216.49,447.2,46.6,4659.43,0.0
462536,1844,343,1435,2,449586.85,210214.21,448.0,46.6,4669.79,0.0
462536,1844,344,1435,2,449596.97,210211.99,448.8,46.6,4680.15,0.0
462536,1844,345,1435,2,449607.09,210209.8,449.6,46.6,4690.5,0.0
